Country;Alcoholic Beverages;Animal Products;Animal fats;Aquatic Products, Other;Cereals - Excluding Beer;Eggs;Fish, Seafood;Fruits - Excluding Wine;Meat;Miscellaneous;Milk - Excluding Butter;Offals;Oilcrops;Pulses;Spices;Starchy Roots;Stimulants;Sugar Crops;Sugar & Sweeteners;Treenuts;Vegetal Products;Vegetable Oils;Vegetables;Obesity;Undernourished;Confirmed;Deaths;Recovered;Active;Population;Unit (all except Population);
Afghanistan;0;216.397;62.224;0;80.353;0.6859;0.0327;0.4246;61.244;0.0163;82.803;0.3103;10.452;0.196;0.2776;0.049;0.098;0;0;0.7513;283.684;170.831;0.3593;4.5;29.8;0.0814021344829399;0.00189527364491877;0.0331318016928658;0.0463750591451554;38042000;%;
Albania;0;320.002;34.172;0;26.734;16.448;0.1445;0.6418;87.428;0.017;177.576;0.2933;31.622;0.1148;0;0.051;0.527;0;0;0.9181;179.998;92.443;0.6503;22.3;6.2;0.0840447865640308;0.00192442267319804;0.0484254723582925;0.0336948915325402;2858000;%;
Algeria;0;144.175;0.8972;0;42.035;12.171;0.2008;0.5772;38.961;0.0439;80.934;0.1067;11.983;0.2698;0.1568;0.1129;0.2886;0;0;0.8595;355.857;273.606;0.5145;26.6;3.9;0.0305787218356909;0.00206653458047275;0.0215891812191863;0.00692300603603188;43406000;%;
Angola;0;153.041;1.313;0;65.545;0.1539;14.155;0.3488;110.268;0.0308;12.309;0.1539;39.902;0.3282;0.0103;0.7078;0.1128;0;0;0.0308;34.701;224.638;0.1231;6.8;25;0.000849587933942152;3,50E+09;0.00025774015973526;0.000556846024119388;31427000;%;
Antigua and Barbuda;0;277.033;46.686;0;32.153;0.3872;15.263;12.177;143.202;0.0898;66.607;0.1347;13.579;0.0673;0.3591;0.0449;10.549;0;0;0.202;222.995;144.436;0.2469;19.1;NA;0.0711340206185567;0.00309278350515464;0.022680412371134;0.045360824742268;97000;%;
Argentina;0;303.572;33.076;0;13.316;15.706;0.1664;0.2091;192.693;0;58.512;0.1878;0.064;0.0213;0.0213;0.111;0.2475;0;0;0.1366;196.449;173.147;0.1878;28.5;4.6;0.133365228420748;0.00274149402523421;0.0448029551169363;0.0858207792785776;44939000;%;
Armenia;0;296.642;62.619;0;25.068;16.196;0.2218;0.5468;108.165;0.0361;104.709;0.2734;0.6602;0.0774;0.0103;0.0567;18.002;0;0;0.9542;203.384;128.127;0.8717;20.9;4.3;0.832039162727887;0.0143821742066172;0.442808912896691;0.374848075624578;2962000;%;
Australia;0;241.099;4.603;0;0.9908;0.7017;0.4515;0.4028;116.002;0.052;65.196;0.2339;12.929;0.026;0.1007;0.0422;0.7926;0;0;16.145;258.901;203.612;0.2144;30.4;<2.5;0.0306816834617664;0.000410985971151946;0.0276901798063624;0.00258051768425212;25305000;%;
Austria;0;278.268;128.517;0;12.297;12.147;0.4259;0.2249;81.099;0;51.497;0.075;11.367;0.012;0.102;0.045;0.4439;0;0;0.8398;221.762;179.323;0.2039;21.9;<2.5;0.198873493297285;0.00790807705305847;0.184758364312268;0.006207051931959;8877000;%;
Azerbaijan;0;321.198;77.987;0;54.481;20.197;0.2122;0.594;119.993;0.017;99.202;0.1612;0.1867;0.0255;0.017;0.1697;13.663;0;0;22.573;178.802;71.538;0.6534;19.9;<2.5;0.163863114835877;0.00197545645016462;0.0900528783797266;0.0718347800059862;10023000;%;
